level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,754,1000,-1.0,
2,1,1,0,0,0,29,88,638,843,-1.0,
3,1,1,1,0,0,29,88,638,843,-1.0,
4,1,1,1,1,0,537,88,90,12,-1.0,
5,1,1,1,1,1,537,88,90,12,84.283875,2085797367
4,1,1,1,2,0,29,125,638,19,-1.0,
5,1,1,1,2,1,25,118,38,30,18.729067,Bg
5,1,1,1,2,2,77,118,21,30,13.508024,hy
4,1,1,1,3,0,32,146,210,29,-1.0,
5,1,1,1,3,1,32,146,32,29,77.857056,From:
5,1,1,1,3,2,179,152,29,11,45.161102,"Bugg,"
5,1,1,1,3,3,212,151,18,12,83.853851,Joy
5,1,1,1,3,4,233,151,9,9,60.364223,J.
4,1,1,1,4,0,32,161,336,17,-1.0,
5,1,1,1,4,1,32,169,28,9,94.400932,Sent:
5,1,1,1,4,2,179,164,43,12,91.810013,Monday.
5,1,1,1,4,3,227,163,46,11,52.80653,February
5,1,1,1,4,4,276,162,15,11,96.432175,"18,"
5,1,1,1,4,5,296,162,25,10,96.432175,2002
5,1,1,1,4,6,325,161,22,10,81.128502,2:19
5,1,1,1,4,7,351,161,17,10,65.271637,PMA
4,1,1,1,5,0,32,169,574,22,-1.0,
5,1,1,1,5,1,32,181,18,10,84.057404,Tor
5,1,1,1,5,2,179,177,45,10,44.412262,"Patakah,"
5,1,1,1,5,3,227,176,39,11,51.068596,George
5,1,1,1,5,4,269,176,13,10,58.724808,.;
5,1,1,1,5,5,286,175,46,10,88.60939,"Podraza,"
5,1,1,1,5,6,336,174,20,9,93.209717,Ken
5,1,1,1,5,7,360,174,13,10,79.272942,F.;
5,1,1,1,5,8,376,173,29,10,91.184799,"Walk,"
5,1,1,1,5,9,409,173,32,10,94.480377,Roger
5,1,1,1,5,10,444,172,14,10,79.649902,A;
5,1,1,1,5,11,462,171,43,11,53.373642,"Foethia,"
5,1,1,1,5,12,509,171,29,9,93.274277,Hans:
5,1,1,1,5,13,542,169,32,11,71.372116,"Kobal,"
5,1,1,1,5,14,578,169,28,10,55.599998,Gerd
4,1,1,1,6,0,179,181,473,19,-1.0,
5,1,1,1,6,1,179,190,57,10,4.219732,"Carhiman,"
5,1,1,1,6,2,240,189,39,10,0.0,Lowen:
5,1,1,1,6,3,282,187,40,11,84.943481,"Tricker,"
5,1,1,1,6,4,326,187,44,11,73.528572,"Anthony,"
